Month,Year,ZIP Code,Property Type,Med. Sales Price,Avg. Sales Price,Sales to List Price,Homes Sold,Absorption Rate,Average DOM,Price Per Sqft.,Active Inventory,MSI,New Listings
November,2022,80206,Condominium,413750,436067,99.65,6,0.35,27,480,17,2.83,9
December,2022,80206,Condominium,685000,662429,98.35,7,0.5,50,619,14,2,6
January,2023,80206,Condominium,475000,460833,95.68,6,0.35,39,426,17,2.83,18
February,2023,80206,Condominium,391200,410645,98.49,11,0.65,26,475,17,1.55,14
March,2023,80206,Condominium,463750,914292,99.59,12,0.63,17,623,19,1.58,18
April,2023,80206,Condominium,410000,1064944,99.09,9,0.43,34,637,21,2.33,19
May,2023,80206,Condominium,402500,777000,99.61,16,0.59,40,599,27,1.69,25
June,2023,80206,Condominium,505000,664533,102.16,15,0.52,9,565,29,1.93,23
July,2023,80206,Condominium,407000,762386,100.16,22,0.73,24,525,30,1.36,17
August,2023,80206,Condominium,355500,484393,99.18,14,0.38,33,540,37,2.64,23
September,2023,80206,Condominium,495000,549554,99.59,10,0.21,32,551,48,4.8,20
October,2023,80206,Condominium,317100,500300,97.92,7,0.15,37,436,47,6.71,19
November,2023,80206,Condominium,320000,378600,99.66,10,0.29,15,454,34,3.4,7
December,2023,80206,Condominium,470000,2250383,92.37,9,0.3,69,574,30,3.33,9
January,2024,80206,Condominium,447500,777362,98.99,10,0.33,53,633,30,3,20
February,2024,80206,Condominium,340000,620195,98.81,17,0.52,47,505,33,1.94,15
March,2024,80206,Condominium,458500,661067,98.96,12,0.35,17,559,34,2.83,16
April,2024,80206,Condominium,532500,678050,100.81,10,0.22,52,574,45,4.5,29
May,2024,80206,Condominium,414500,719900,98.41,15,0.28,59,545,53,3.53,25
June,2024,80206,Condominium,371500,489000,100.13,12,0.21,52,456,57,4.75,20
July,2024,80206,Condominium,391250,717380,97.75,10,0.16,35,608,64,6.4,23
August,2024,80206,Condominium,423750,1044938,99.29,10,0.14,40,575,69,6.9,18
September,2024,80206,Condominium,795000,1141000,99.31,5,0.07,66,704,68,13.6,16
October,2024,80206,Condominium,1115000,1906818,94.4,11,0.17,94,850,66,6,17
November,2024,80206,Condominium,539250,1113094,98.21,8,0.15,70,731,55,6.88,9
December,2024,80206,Condominium,706000,974950,96.13,10,0.28,88,685,36,3.6,5
January,2025,80206,Condominium,399000,474200,99,5,0.11,30,382,45,9,27
February,2025,80206,Condominium,410500,1233925,100.75,8,0.15,50,710,52,6.5,21
March,2025,80206,Condominium,891000,1044798,100.16,7,0.1,34,716,70,10,33
April,2025,80206,Condominium,585000,1043000,99.27,9,0.1,79,648,86,9.56,30
May,2025,80206,Condominium,605000,805171,97.7,12,0.14,50,592,84,7,23
June,2025,80206,Condominium,442000,674269,98.2,13,0.2,43,541,65,5,14
July,2025,80206,Condominium,420000,428790,97.3,11,0.17,103,442,65,5.91,14
August,2025,80206,Condominium,300000,630800,97.03,5,0.08,82,488,61,12.2,15
September,2025,80206,Condominium,505000,639100,99.2,9,0.13,36,574,67,7.44,24
October,2025,80206,Condominium,860625,2019515,98.69,10,0.14,48,883,74,7.4,21
