Month,Year,ZIP Code,Property Type,Med. Sales Price,Avg. Sales Price,Sales to List Price,Homes Sold,Absorption Rate,Average DOM,Price Per Sqft.,Active Inventory,MSI,New Listings
November,2022,80205,Condominium,527450,527450,99.32,2,0.25,37,524,8,4,3
December,2022,80205,Condominium,500000,496250,99.8,4,0.31,21,463,13,3.25,7
January,2023,80205,Condominium,372500,412225,99.86,4,0.57,37,494,7,1.75,6
February,2023,80205,Condominium,370000,399111,100.51,9,1.5,50,535,6,0.67,8
March,2023,80205,Condominium,394000,414800,99.8,10,0.77,37,542,13,1.3,11
April,2023,80205,Condominium,381000,444000,98.9,4,0.27,17,478,15,3.75,9
May,2023,80205,Condominium,418500,444160,99.27,8,0.53,21,512,15,1.88,8
June,2023,80205,Condominium,390000,368333,99.69,3,0.15,44,643,20,6.67,11
July,2023,80205,Condominium,620000,631200,98.29,5,0.28,37,513,18,3.6,11
August,2023,80205,Condominium,499000,483736,99.64,11,0.5,32,522,22,2,12
September,2023,80205,Condominium,487500,534400,96.25,6,0.29,16,472,21,3.5,10
October,2023,80205,Condominium,570000,537714,97.68,7,0.35,77,473,20,2.86,8
November,2023,80205,Condominium,1255000,1255000,93.93,2,0.12,39,454,16,8,3
December,2023,80205,Condominium,465000,465000,97.89,1,0.08,28,423,12,12,2
January,2024,80205,Condominium,512500,498625,97.27,4,0.19,106,499,21,5.25,14
February,2024,80205,Condominium,439000,439000,96.18,2,0.07,106,459,28,14,21
March,2024,80205,Condominium,371500,369500,100.71,4,0.11,22,417,36,9,14
April,2024,80205,Condominium,415000,447706,100.22,9,0.23,35,456,39,4.33,12
May,2024,80205,Condominium,540000,603300,95.61,5,0.11,106,462,45,9,19
June,2024,80205,Condominium,410500,424500,99.55,6,0.11,37,516,55,9.17,24
July,2024,80205,Condominium,639000,566000,99.05,5,0.1,46,476,48,9.6,7
August,2024,80205,Condominium,405000,431600,96.81,5,0.11,56,546,46,9.2,10
September,2024,80205,Condominium,640030,854966,95.51,5,0.11,98,511,46,9.2,16
October,2024,80205,Condominium,450000,460000,98.29,5,0.11,70,532,44,8.8,8
November,2024,80205,Condominium,445000,453500,99.16,4,0.11,98,517,38,9.5,6
December,2024,80205,Condominium,547000,545042,96.36,6,0.27,96,412,22,3.67,5
January,2025,80205,Condominium,659500,659500,99.91,2,0.07,28,519,29,14.5,15
February,2025,80205,Condominium,662000,582333,98.14,3,0.08,123,457,36,12,11
March,2025,80205,Condominium,441000,436750,99.83,4,0.11,49,449,37,9.25,13
April,2025,80205,Condominium,380000,405000,97.33,3,0.06,42,418,48,16,18
May,2025,80205,Condominium,511000,485333,100.71,3,0.05,73,453,56,18.67,20
June,2025,80205,Condominium,371200,349316,98.85,4,0.07,27,435,54,13.5,13
July,2025,80205,Condominium,484000,462300,99.01,8,0.16,60,406,51,6.38,12
August,2025,80205,Condominium,0,0,0,0,0,0,0,56,0,17
September,2025,80205,Condominium,423750,423750,99.1,2,0.03,90,450,58,29,12
October,2025,80205,Condominium,411250,411250,100.91,2,0.04,11,430,53,26.5,15
