Month,Year,ZIP Code,Property Type,Med. Sales Price,Avg. Sales Price,Sales to List Price,Homes Sold,Absorption Rate,Average DOM,Price Per Sqft.,Active Inventory,MSI,New Listings
November,2022,80204,Condominium,295000,385400,99.23,9,0.36,60,485,25,2.78,6
December,2022,80204,Condominium,495000,518780,98.96,5,0.24,50,450,21,4.2,3
January,2023,80204,Condominium,338250,367883,98.59,6,0.35,82,384,17,2.83,5
February,2023,80204,Condominium,309000,460843,98.66,7,0.39,95,487,18,2.57,8
March,2023,80204,Condominium,378000,408333,97.82,3,0.21,86,437,14,4.67,11
April,2023,80204,Condominium,450000,598292,98.32,9,0.53,51,493,17,1.89,11
May,2023,80204,Condominium,374350,457650,98.48,9,0.33,16,499,27,3,19
June,2023,80204,Condominium,380000,490989,101.1,9,0.25,23,407,36,4,21
July,2023,80204,Condominium,564000,609179,99.06,7,0.21,42,474,34,4.86,16
August,2023,80204,Condominium,542750,627458,97.93,12,0.3,42,552,40,3.33,22
September,2023,80204,Condominium,555000,548927,98.4,11,0.22,73,457,50,4.55,18
October,2023,80204,Condominium,399500,399500,100,1,0.02,18,577,51,51,21
November,2023,80204,Condominium,521500,455125,97.08,10,0.24,88,412,41,4.1,6
December,2023,80204,Condominium,355000,385824,98.31,9,0.24,43,457,38,4.22,9
January,2024,80204,Condominium,226000,254333,98.22,3,0.07,5,443,42,14,15
February,2024,80204,Condominium,344750,424288,98.46,8,0.16,74,461,51,6.38,28
March,2024,80204,Condominium,425000,675433,99.8,9,0.16,37,543,57,6.33,23
April,2024,80204,Condominium,407750,478736,99.05,14,0.22,70,441,63,4.5,27
May,2024,80204,Condominium,380400,385951,98.64,15,0.22,55,511,69,4.6,21
June,2024,80204,Condominium,430000,481417,98.3,9,0.13,48,471,69,7.67,18
July,2024,80204,Condominium,461000,463500,98.81,4,0.06,25,471,72,18,18
August,2024,80204,Condominium,431750,531131,97.54,10,0.15,82,456,66,6.6,20
September,2024,80204,Condominium,449500,430033,97.11,9,0.14,119,384,65,7.22,12
October,2024,80204,Condominium,610000,586980,98.59,5,0.09,62,404,58,11.6,15
November,2024,80204,Condominium,690000,608625,98.51,4,0.08,103,547,51,12.75,6
December,2024,80204,Condominium,425000,476750,95.95,10,0.31,119,426,32,3.2,2
January,2025,80204,Condominium,309000,431167,97.48,6,0.15,61,460,39,6.5,19
February,2025,80204,Condominium,419500,605450,98.36,6,0.12,124,479,50,8.33,20
March,2025,80204,Condominium,284250,417108,99.2,4,0.06,40,371,71,17.75,29
April,2025,80204,Condominium,519500,476938,98.95,4,0.05,81,431,88,22,28
May,2025,80204,Condominium,220000,260640,99.16,5,0.06,63,391,81,16.2,12
June,2025,80204,Condominium,438500,504312,96.16,8,0.11,105,431,75,9.38,12
July,2025,80204,Condominium,259000,296838,98.41,9,0.12,52,406,72,8,17
August,2025,80204,Condominium,431500,431500,98.63,2,0.03,67,448,78,39,17
September,2025,80204,Condominium,350500,350500,97.52,2,0.03,174,408,64,32,8
October,2025,80204,Condominium,423750,441312,100.78,8,0.13,134,465,61,7.62,13
