Month,Year,ZIP Code,Property Type,Med. Sales Price,Avg. Sales Price,Sales to List Price,Homes Sold,Absorption Rate,Average DOM,Price Per Sqft.,Active Inventory,MSI,New Listings
November,2022,80207,Condominium,487500,487500,100,2,0,5,350,0,0,0
December,2022,80207,Condominium,0,0,0,0,0,0,0,0,0,0
January,2023,80207,Condominium,0,0,0,0,0,0,0,0,0,0
February,2023,80207,Condominium,0,0,0,0,0,0,0,0,0,0
March,2023,80207,Condominium,0,0,0,0,0,0,0,0,0,0
April,2023,80207,Condominium,0,0,0,0,0,0,0,0,0,0
May,2023,80207,Condominium,0,0,0,0,0,0,0,0,0,1
June,2023,80207,Condominium,350000,350000,100.03,1,0,0,411,0,0,0
July,2023,80207,Condominium,312000,312000,102.3,1,0,2,382,0,0,1
August,2023,80207,Condominium,0,0,0,0,0,0,0,0,0,0
September,2023,80207,Condominium,0,0,0,0,0,0,0,0,0,0
October,2023,80207,Condominium,0,0,0,0,0,0,0,0,0,0
November,2023,80207,Condominium,0,0,0,0,0,0,0,0,0,0
December,2023,80207,Condominium,0,0,0,0,0,0,0,0,0,0
January,2024,80207,Condominium,0,0,0,0,0,0,0,0,0,1
February,2024,80207,Condominium,0,0,0,0,0,0,0,0,0,0
March,2024,80207,Condominium,310000,310000,100,1,0,5,387,0,0,0
April,2024,80207,Condominium,0,0,0,0,0,0,0,0,0,0
May,2024,80207,Condominium,0,0,0,0,0,0,0,0,0,0
June,2024,80207,Condominium,0,0,0,0,0,0,0,1,0,1
July,2024,80207,Condominium,0,0,0,0,0,0,0,2,0,1
August,2024,80207,Condominium,0,0,0,0,0,0,0,2,0,0
September,2024,80207,Condominium,0,0,0,0,0,0,0,2,0,0
October,2024,80207,Condominium,0,0,0,0,0,0,0,1,0,1
November,2024,80207,Condominium,342000,342000,102.09,1,0,4,427,0,0,0
December,2024,80207,Condominium,0,0,0,0,0,0,0,0,0,0
January,2025,80207,Condominium,0,0,0,0,0,0,0,1,0,1
February,2025,80207,Condominium,0,0,0,0,0,0,0,1,0,1
March,2025,80207,Condominium,425000,425000,101.43,1,0.33,9,486,3,3,2
April,2025,80207,Condominium,0,0,0,0,0,0,0,2,0,0
May,2025,80207,Condominium,725000,725000,96.68,1,0.25,47,463,4,4,3
June,2025,80207,Condominium,0,0,0,0,0,0,0,4,0,1
July,2025,80207,Condominium,0,0,0,0,0,0,0,2,0,0
August,2025,80207,Condominium,0,0,0,0,0,0,0,4,0,2
September,2025,80207,Condominium,0,0,0,0,0,0,0,4,0,0
October,2025,80207,Condominium,0,0,0,0,0,0,0,2,0,0
