Month,Year,ZIP Code,Property Type,Med. Sales Price,Avg. Sales Price,Sales to List Price,Homes Sold,Absorption Rate,Average DOM,Price Per Sqft.,Active Inventory,MSI,New Listings
November,2022,80220,Condominium,315000,311100,99.35,9,3,16,360,3,0.33,4
December,2022,80220,Condominium,283250,281250,98.09,4,4,43,353,1,0.25,1
January,2023,80220,Condominium,257000,257000,101.03,2,0.33,10,345,6,3,5
February,2023,80220,Condominium,0,0,0,0,0,0,0,6,0,4
March,2023,80220,Condominium,312000,316475,102.02,4,0.5,4,379,8,2,10
April,2023,80220,Condominium,346200,356050,100.32,8,0.67,32,358,12,1.5,11
May,2023,80220,Condominium,333000,404357,101.27,7,0.54,12,358,13,1.86,12
June,2023,80220,Condominium,301600,308827,99.05,11,0.69,17,361,16,1.45,11
July,2023,80220,Condominium,293150,284475,98.81,8,0.47,42,372,17,2.12,9
August,2023,80220,Condominium,370000,358400,98.59,5,0.38,23,385,13,2.6,7
September,2023,80220,Condominium,270000,339167,98.89,9,0.47,18,406,19,2.11,14
October,2023,80220,Condominium,277500,375750,98.35,6,0.27,7,367,22,3.67,9
November,2023,80220,Condominium,237500,237500,101.42,2,0.08,85,383,24,12,10
December,2023,80220,Condominium,226500,249300,96.23,5,0.2,47,337,25,5,10
January,2024,80220,Condominium,305000,362800,99.12,3,0.15,75,341,20,6.67,9
February,2024,80220,Condominium,273250,277125,96.16,8,0.29,40,349,28,3.5,12
March,2024,80220,Condominium,483000,453375,100.09,4,0.12,32,435,33,8.25,13
April,2024,80220,Condominium,275111,322022,99.42,10,0.32,45,366,31,3.1,13
May,2024,80220,Condominium,325000,361500,100.65,6,0.15,24,395,41,6.83,18
June,2024,80220,Condominium,264000,279667,100,3,0.07,56,387,41,13.67,13
July,2024,80220,Condominium,265000,288286,99.67,7,0.16,32,350,43,6.14,14
August,2024,80220,Condominium,252000,295800,100.79,5,0.12,37,346,40,8,12
September,2024,80220,Condominium,224900,298300,101.41,3,0.06,60,379,52,17.33,20
October,2024,80220,Condominium,237500,315417,97.48,6,0.12,93,351,52,8.67,12
November,2024,80220,Condominium,189000,184000,94.53,4,0.09,99,291,43,10.75,7
December,2024,80220,Condominium,265000,287523,97.71,5,0.17,93,312,30,6,1
January,2025,80220,Condominium,258250,240780,99.06,4,0.13,81,280,31,7.75,14
February,2025,80220,Condominium,317500,323333,98.83,6,0.16,74,338,38,6.33,13
March,2025,80220,Condominium,350000,375000,102.18,3,0.09,38,321,35,11.67,11
April,2025,80220,Condominium,224000,235833,96.1,9,0.23,131,307,39,4.33,12
May,2025,80220,Condominium,256250,262917,99.52,6,0.13,38,342,46,7.67,15
June,2025,80220,Condominium,196600,220550,93.93,4,0.08,109,363,49,12.25,13
July,2025,80220,Condominium,276000,313708,96.73,6,0.13,61,297,45,7.5,8
August,2025,80220,Condominium,290000,347180,96.04,5,0.12,57,310,42,8.4,7
September,2025,80220,Condominium,212500,236250,96.78,4,0.11,38,282,36,9,6
October,2025,80220,Condominium,316500,360750,97.82,4,0.12,119,349,33,8.25,9
