Month,Year,ZIP Code,Property Type,Med. Sales Price,Avg. Sales Price,Sales to List Price,Homes Sold,Absorption Rate,Average DOM,Price Per Sqft.,Active Inventory,MSI,New Listings
November,2022,80202,Condominium,498500,758021,97.17,24,0.2,72,553,123,5.12,29
December,2022,80202,Condominium,589500,893028,96.65,18,0.17,75,610,105,5.83,13
January,2023,80202,Condominium,800000,747500,95.54,17,0.16,68,555,108,6.35,40
February,2023,80202,Condominium,619225,718196,97.33,19,0.18,66,549,103,5.42,32
March,2023,80202,Condominium,545000,659474,98.98,28,0.26,46,557,109,3.89,41
April,2023,80202,Condominium,517950,620352,98.53,22,0.19,66,504,118,5.36,50
May,2023,80202,Condominium,602500,754109,98.78,34,0.3,76,595,113,3.32,43
June,2023,80202,Condominium,490000,665776,97.6,29,0.22,56,563,132,4.55,44
July,2023,80202,Condominium,565000,712600,97.97,15,0.11,49,547,139,9.27,48
August,2023,80202,Condominium,525000,737037,98.72,19,0.14,47,552,134,7.05,31
September,2023,80202,Condominium,555500,718876,97.82,27,0.21,72,579,127,4.7,36
October,2023,80202,Condominium,535000,704010,97.21,25,0.22,67,579,114,4.56,27
November,2023,80202,Condominium,374000,676941,98.06,17,0.16,55,536,104,6.12,22
December,2023,80202,Condominium,477500,594142,97.98,12,0.15,76,606,81,6.75,9
January,2024,80202,Condominium,430700,505050,97.72,8,0.09,174,505,88,11,31
February,2024,80202,Condominium,565000,643306,98.52,18,0.18,100,575,102,5.67,52
March,2024,80202,Condominium,590000,727477,98.4,27,0.24,69,556,114,4.22,43
April,2024,80202,Condominium,750000,843804,97.7,23,0.18,81,589,129,5.61,38
May,2024,80202,Condominium,717500,985944,98.37,18,0.12,50,609,152,8.44,53
June,2024,80202,Condominium,580000,597758,96.74,15,0.1,85,583,152,10.13,27
July,2024,80202,Condominium,482500,938444,98.1,18,0.11,79,601,159,8.83,36
August,2024,80202,Condominium,501250,526208,96.86,12,0.08,103,487,151,12.58,42
September,2024,80202,Condominium,555000,709716,97.83,18,0.11,104,565,164,9.11,39
October,2024,80202,Condominium,718000,636433,96.33,15,0.08,102,558,177,11.8,46
November,2024,80202,Condominium,532000,561974,97.42,14,0.09,67,484,161,11.5,19
December,2024,80202,Condominium,492500,581992,95.35,10,0.08,151,485,120,12,13
January,2025,80202,Condominium,603000,884605,97.52,13,0.1,48,574,135,10.38,42
February,2025,80202,Condominium,775000,809778,97.41,9,0.06,119,505,153,17,62
March,2025,80202,Condominium,477500,699420,97.96,20,0.11,46,568,184,9.2,63
April,2025,80202,Condominium,594000,894421,97.63,19,0.09,99,531,212,11.16,61
May,2025,80202,Condominium,577000,653235,97.66,14,0.06,41,532,230,16.43,67
June,2025,80202,Condominium,600000,940059,97.27,17,0.07,108,572,231,13.59,47
July,2025,80202,Condominium,475000,554960,97.31,23,0.1,100,503,220,9.57,42
August,2025,80202,Condominium,495000,742300,97,19,0.09,107,571,218,11.47,37
September,2025,80202,Condominium,608000,730574,95.62,19,0.09,94,590,215,11.32,44
October,2025,80202,Condominium,507500,693928,97.58,18,0.09,59,571,208,11.56,54
